wavelength,li_ref,white_ref,li_scope,white_scope
333.246307373047,26.9781394966699,100.1644442265460,154.6111145,574.944458
333.846405029297,25.2290153296462,94.4382150314177,147.6111145,558.944458
334.446502685547,18.0754095948219,93.4638516950965,131.6111145,535.944458
335.046539306641,17.2919005543249,92.2639067223027,107.6111145,553.944458
335.646575927734,16.0180306799267,102.9573465677460,110.6111145,549.944458
336.246551513672,19.3075781100193,95.6233692109135,133.6111145,587.944458
336.846527099609,21.2062621551785,92.8637223292570,147.6111145,579.944458
337.446472167969,23.9774205368331,96.9924138832748,137.6111145,575.944458
338.046386718750,23.3560741880458,97.6028069396908,153.6111145,588.944458
338.646240234375,22.7667616299890,94.7214376188724,143.6111145,566.944458
339.246124267578,21.4053291644255,99.9898336805144,146.6111145,575.944458
339.845947265625,15.6647943982431,96.2827738135751,125.6111145,603.944458
340.445739746094,16.8794743649266,94.7668818346466,100.6111145,547.944458
341.045501708984,19.9472924068930,95.5743388212231,130.6111145,592.944458
341.645263671875,22.3862587117521,95.9795751555771,139.6111145,579.944458
342.244964599609,20.8181084339409,91.0373552790219,149.6111145,533.944458
342.844665527344,21.8148579978830,94.7940747012036,160.6111145,581.944458
343.444305419922,14.2429516304487,101.0332198148160,108.6111145,607.944458
344.043945312500,19.8219643064587,90.7897077841941,147.6111145,594.944458
344.643554687500,20.9974476650713,94.2469022981248,131.6111145,577.944458
345.243133544922,21.5167052003839,103.5782103662850,128.6111145,608.944458
345.842681884766,19.5281671173702,93.8554022680644,148.6111145,608.944458
346.442199707031,22.9155219281708,97.0221755930531,146.6111145,595.944458
347.041687011719,19.1599058182002,92.2329297134566,135.6111145,615.944458
347.641143798828,22.5031049902497,96.1593067582123,153.6111145,614.944458
348.240570068359,22.6747972453124,92.0894328793071,154.6111145,628.944458
348.839996337891,22.5367406751119,95.6329345713558,142.6111145,628.944458
349.439361572266,17.3662776345363,87.8763748275599,133.6111145,575.944458
350.038726806641,18.1622739801901,102.0097237232250,127.6111145,625.944458
350.638031005859,20.7443207028251,87.4788084568800,152.6111145,589.944458
351.237335205078,22.4744717049518,97.5291780087458,151.6111145,608.944458
351.836608886719,19.2646087019874,94.4638134447530,139.6111145,642.944458
352.435852050781,19.8015679784030,91.1372373219459,136.6111145,611.944458
353.035064697266,17.7985746028731,99.5098060980100,135.6111145,644.944458
353.634246826172,19.1564296752507,101.4660134651820,124.6111145,682.944458
354.233398437500,21.6891679247362,91.8916766608539,159.6111145,644.944458
354.832519531250,24.3481853399305,92.4174937653264,169.6111145,627.944458
355.431610107422,21.8878361762856,92.3143779149343,150.6111145,645.944458
356.030670166016,24.3395036917088,95.1510856182817,157.6111145,654.944458
356.629730224609,19.9261708309683,87.6924304551454,160.6111145,639.944458
357.228729248047,20.8333337637508,95.3305929606447,161.6111145,704.944458
357.827728271484,21.6907766103147,94.3925979454018,168.6111145,687.944458
358.426666259766,20.8967855968183,94.7315816358357,155.6111145,688.944458
359.025604248047,23.2335239482847,95.2867573215738,156.6111145,661.944458
359.624481201172,21.0779956740748,88.7826233948603,166.6111145,673.944458
360.223358154297,16.0813166922424,97.5715887043321,124.6111145,696.944458
360.822204589844,20.7158526794213,93.3662299882503,170.6111145,685.944458
361.421020507812,17.4065046381076,89.6016280108181,139.6111145,632.944458
362.019805908203,18.9866790630111,93.6611303979787,154.6111145,708.944458
362.618560791016,19.7227066153594,94.3742758732693,143.6111145,714.944458
363.217285156250,23.7845644425380,96.0270453073100,178.6111145,706.944458
363.815979003906,18.5477808153245,98.9089559387922,157.6111145,750.944458
364.414642333984,23.2294826901835,88.0499080160696,197.6111145,696.944458
365.013305664062,22.3174474400092,93.7221310185438,191.6111145,760.944458
365.611907958984,26.2176243183142,90.8713418102604,211.6111145,721.944458
366.210479736328,20.7463505478416,91.5199907516935,175.6111145,751.944458
366.809051513672,20.1132133902942,92.2542293215314,156.6111145,715.944458
367.407592773437,16.5005780034926,92.9737163672186,160.6111145,748.944458
368.006072998047,22.3231433312994,97.7329806852759,197.6111145,764.944458
368.604553222656,18.4841959077866,97.0186799172544,169.6111145,776.944458
369.202972412109,19.8090862829532,95.1017296842305,153.6111145,753.944458
369.801391601562,15.4479993314929,91.8917064421313,130.6111145,743.944458
