Time,LED1,LED2,LED3,LED4,Dark
1744216747.431274,0.0,0.0,0.0,0.0,0.9306316375732422
1744216747.431274,0.0,0.0,0.0,0.0,0.9306316375732422
1744216747.431274,0.0,0.0,0.0,0.0,0.8714075088500977
1744216747.431274,0.0,0.0,0.0,0.0,0.8714075088500977
1744216747.431274,0.0,0.0,0.0,0.0,0.8714075088500977
1744216747.431274,0.0,0.0,0.0,0.0,0.8131270408630371
1744216747.431274,0.0,0.0,0.0,0.0,0.8131270408630371
1744216747.431274,0.0,0.0,0.0,0.0,0.7559604644775391
1744216747.431274,0.0,0.0,0.0,0.0,0.7559604644775391
1744216747.431274,0.0,0.0,0.0,0.0,0.7000250816345215
1744216747.431274,0.0,0.0,0.0,0.0,0.7000250816345215
1744216747.431274,0.0,0.0,0.0,0.0,0.6455473899841309
1744216747.431274,0.0,0.0,0.0,0.0,0.6455473899841309
1744216747.431274,0.0,0.0,0.0,0.0,0.6455473899841309
1744216747.431274,0.0,0.0,0.0,0.0,0.5926957130432129
1744216747.431274,0.0,0.0,0.0,0.0,0.0
1744216747.437274,0.0,0.0,0.0,0.0,0.49254941940307617
1744216747.437274,0.0,0.0,0.0,0.0,0.49254941940307617
1744216747.437274,0.0,0.0,0.0,0.0,0.44573020935058594
1744216747.437274,0.0,0.0,0.0,0.0,0.44573020935058594
1744216747.437274,0.0,0.0,0.0,0.0,0.4013710021972656
1744216747.437274,0.0,0.0,0.0,0.0,0.4013710021972656
1744216747.437274,0.0,0.0,0.0,0.0,0.3597254753112793
1744216747.437274,0.0,0.0,0.0,0.0,0.3597254753112793
1744216747.437274,0.0,0.0,0.0,0.0,0.3597254753112793
1744216747.437274,0.0,0.0,0.0,0.0,0.32102155685424805
1744216747.437274,0.0,0.0,0.0,0.0,0.32102155685424805
1744216747.437274,0.0,0.0,0.0,0.0,0.32102155685424805
1744216747.437274,0.0,0.0,0.0,0.0,0.32102155685424805
1744216747.437274,0.0,0.0,0.0,0.0,0.2853050231933594
1744216747.437274,0.0,0.0,0.0,0.0,0.2853050231933594
1744216747.437274,0.0,0.0,0.0,0.0,0.0
1744217325.9362738,0.0,0.0,0.0,0.0,0.3922867774963379
1744217325.9362738,0.0,0.0,0.0,0.0,0.3922867774963379
1744217325.9362738,0.0,0.0,0.0,0.0,0.3922867774963379
1744217325.9362738,0.0,0.0,0.0,0.0,0.4359593391418457
1744217325.9362738,0.0,0.0,0.0,0.0,0.4359593391418457
1744217325.9362738,0.0,0.0,0.0,0.0,0.4359593391418457
1744217325.9362738,0.0,0.0,0.0,0.0,0.4359593391418457
1744217325.9362738,0.0,0.0,0.0,0.0,0.0
1744217325.9362738,0.0,0.0,0.0,0.0,0.3136558532714844
1744217325.9362738,0.0,0.0,0.0,0.0,0.3136558532714844
1744217325.9362738,0.0,0.0,0.0,0.0,0.3515286445617676
1744217325.9362738,0.0,0.0,0.0,0.0,0.3515286445617676
1744217325.9362738,0.0,0.0,0.0,0.0,0.3515286445617676
1744217325.9362738,0.0,0.0,0.0,0.0,0.3515286445617676
1744217325.9362738,0.0,0.0,0.0,0.0,0.3515286445617676
1744217325.9362738,0.0,0.0,0.0,0.0,0.0
1744217325.9362738,0.0,0.0,0.0,0.0,0.3922867774963379
1744217325.9362738,0.0,0.0,0.0,0.0,0.3922867774963379
1744217325.9362738,0.0,0.0,0.0,0.0,0.3922867774963379
1744217325.9362738,0.0,0.0,0.0,0.0,0.4359593391418457
1744217325.9362738,0.0,0.0,0.0,0.0,0.4359593391418457
1744217325.9362738,0.0,0.0,0.0,0.0,0.4359593391418457
1744217325.9362738,0.0,0.0,0.0,0.0,0.4359593391418457
1744217325.9362738,0.0,0.0,0.0,0.0,0.4823460578918457
1744217325.9362738,0.0,0.0,0.0,0.0,0.4823460578918457
1744217325.9362738,0.0,0.0,0.0,0.0,0.0
1744217325.9362738,0.0,0.0,0.0,0.0,0.3515286445617676
1744217325.9362738,0.0,0.0,0.0,0.0,0.3515286445617676
1744217325.9362738,0.0,0.0,0.0,0.0,0.3515286445617676
1744217325.9362738,0.0,0.0,0.0,0.0,0.3515286445617676
1744217325.9362738,0.0,0.0,0.0,0.0,0.3515286445617676
1744217325.9362738,0.0,0.0,0.0,0.0,0.0
1744216747.4652739,0.0,0.0,0.0,0.0,0.3922867774963379
1744216747.4652739,0.0,0.0,0.0,0.0,0.3922867774963379
1744216747.4652739,0.0,0.0,0.0,0.0,0.3922867774963379
1744216747.4652739,0.0,0.0,0.0,0.0,0.4359593391418457
1744216747.4652739,0.0,0.0,0.0,0.0,0.4359593391418457
1744216747.4652739,0.0,0.0,0.0,0.0,0.4359593391418457
1744216747.4652739,0.0,0.0,0.0,0.0,0.4359593391418457
1744216747.4652739,0.0,0.0,0.0,0.0,0.4823460578918457
1744216747.4652739,0.0,0.0,0.0,0.0,0.4823460578918457
1744216747.4652739,0.0,0.0,0.0,0.0,0.5817527770996094
1744216747.4652739,0.0,0.0,0.0,0.0,0.5817527770996094
1744216747.4652739,0.0,0.0,0.0,0.0,0.5817527770996094
1744216747.4652739,0.0,0.0,0.0,0.0,0.6342039108276367
1744216747.4652739,0.0,0.0,0.0,0.0,0.6342039108276367
1744216747.4652739,0.0,0.0,0.0,0.0,0.6342039108276367
1744216747.4652739,0.0,0.0,0.0,0.0,0.0
1744220550.030274,0.0,0.0,0.0,0.0,1.929654598236084
1744220550.030274,0.0,0.0,0.0,0.0,1.929654598236084
1744220550.030274,0.0,0.0,0.0,0.0,1.929654598236084
1744220550.030274,0.0,0.0,0.0,0.0,1.9562783241271973
1744220550.030274,0.0,0.0,0.0,0.0,1.9562783241271973
1744220550.030274,0.0,0.0,0.0,0.0,1.9562783241271973
1744220550.030274,0.0,0.0,0.0,0.0,1.9562783241271973
1744220550.030274,0.0,0.0,0.0,0.0,0.0
1744220550.030274,0.0,0.0,0.0,0.0,1.8661861419677734
1744220550.030274,0.0,0.0,0.0,0.0,1.8661861419677734
1744220550.030274,0.0,0.0,0.0,0.0,1.8661861419677734
1744220550.030274,0.0,0.0,0.0,0.0,1.899582862854004
1744220550.030274,0.0,0.0,0.0,0.0,1.899582862854004
1744220550.030274,0.0,0.0,0.0,0.0,1.899582862854004
1744220550.030274,0.0,0.0,0.0,0.0,1.899582862854004
