wavelength,1L,1R,2L,2R,3L,3R,4L,4R,5L,5R
333.2463074,24.5837436638402,29.7118190623779,20.5219984579596,21.1617957748008,23.8179257238904,22.3929207332481,21.4429182936568,25.8439525574370,24.1475179179814,19.3490347135346
333.846405,24.7637444216791,22.2664796798150,18.7342294474227,17.8226801170117,17.8606611761145,22.6178061064925,17.5852968676426,22.9216571872773,20.2344858459180,23.2255056600998
334.4465027,17.0148422349995,17.6176097394172,12.9938467075288,12.3987083624472,18.1974887180091,14.4664316320169,13.9933724101225,10.5904048013766,15.9847957037914,16.6028236225163
335.0465393,24.0854647238485,17.5597148076668,20.3449877010639,12.5783620945663,20.1664440481971,14.3548662915660,21.8358215630935,17.3722449529233,19.5058340037400,17.4972240387801
335.6465759,22.2852549701406,21.9071292059313,16.8869142863554,16.2593868689871,19.4774741774444,20.4670353259820,20.5474877572831,20.7244835480824,18.4476857084136,16.3478836595441
336.2465515,25.5614660971777,20.5599600532212,16.9954856548981,18.5368791549901,18.8580040870828,19.8454595047965,18.6251887318139,23.7150043525942,18.4084300641463,18.6251887318139
336.8465271,23.1137871645901,19.8654056089936,14.0231099153457,13.4005696892061,17.8860490771837,15.4198338401952,20.2405262686569,19.6978001848136,16.5771186263422,16.3616240591472
337.4464722,25.5939833967655,18.6921268799411,20.1441309532156,21.6542142854637,19.6020490071348,22.0123754763136,19.8440490213393,26.3296664176892,17.8402840117211,22.6318959912429
338.0463867,21.5737471008935,19.6562678425953,12.7128001094477,17.6796609594519,19.6900570454066,20.1208554609523,18.6848584224168,16.4379460369570,21.6497704871692,15.7959697439402
338.6462402,27.8837772646351,23.5065696621152,21.0229246101428,16.6897534303910,17.9932274320495,24.7836222939101,21.5425517379216,18.4071690803735,19.8779800371593,19.9572453562432
339.2461243,22.6138897399387,21.6486622226476,18.0473124652534,15.6626335684554,18.6150925714973,19.9047649090160,21.0078817533782,20.7483258971962,16.8468610609259,19.2558730407667
339.8459473,20.5630727831985,14.7502638711192,15.1659597382576,15.2490985311047,10.0390475322067,18.8725773351476,17.9441908182750,16.6001093857157,14.8888285258643,13.8288048733953
340.4457397,18.4360011807505,13.8037001377723,12.5174678842254,8.9383852169902,15.1831379424407,8.4443969480275,15.7516895003190,17.4666675450210,12.6479541198201,12.2285304197526
341.0455017,22.5860016125576,18.5218794122217,21.4745201993329,18.2164338537337,24.9701744063920,18.5303642699979,18.1570410144819,18.9545943418071,16.7061746116641,20.1424371446538
341.6452637,20.6669787439331,19.7672531701026,11.3222982482799,15.7585718427576,19.4821912508967,19.1347726103109,17.1393391758695,16.3732367207346,20.9074996235738,17.4600336820571
342.2449646,24.4746114138168,17.4321699859713,17.8959974760211,14.3709108871981,13.9843881557593,17.9964921759528,19.8827227656571,16.5740901379145,14.3863712019507,15.2908341174973
342.8446655,18.5928079005519,19.3247483535603,11.8996996429729,11.4469523407092,13.1070244006688,15.9366932263698,16.1479743335877,18.8946401262314,17.0308308994359,16.6912706818020
343.4443054,18.0823549738075,18.1333523083240,16.7345574133326,15.5106103794696,15.1463404170044,14.9933474129580,13.8859662868452,14.9642059360204,14.0826720065466,12.5745948221695
344.0439453,23.2163907771346,19.5086311821617,15.6591280893249,17.3600705539636,17.2556275452161,14.5475462615959,19.4564096777880,21.2319572187137,17.7778466870082,12.8764427539313
344.6435547,23.7539708784218,18.2320595418534,17.8066156833605,18.5511427400244,18.1079714962084,22.2294619944476,20.8822220948821,20.5985936673574,12.0276633456348,17.8509317122569
345.2431335,18.5517672286742,21.2936374266686,18.5052959990350,19.9552333371802,21.8327167097790,20.8010306495989,19.8901713181625,18.0870447210699,19.6392205513835,21.8977774523951
345.8426819,20.3530943884370,20.2727912014110,17.1628863690851,19.0901508272685,19.5135661733521,20.0172827013884,17.1993867240569,16.0459482379504,15.8196396208906,13.2572521435817
346.4421997,24.6782532834285,20.0499947370545,18.5390828282536,18.4869819652834,18.2091126835840,20.3712812058150,20.6144169763626,21.4306586621275,20.2236634852985,17.1757862549991
347.041687,24.1441489773511,21.9385223613244,16.7580495978923,15.8632400584696,15.6120654320014,17.7078030815781,17.5037229564999,16.5461211078651,16.7266518264002,15.8082950362825
347.6411438,25.6201705504862,19.9638743492308,16.7898394009386,17.1804896669705,17.5060317416071,16.3096645334929,15.3655912876201,18.6210142693075,18.9546940296232,18.7349530454190
348.2405701,26.6752724286969,16.7596325032953,15.7819197574121,17.1996034067783,20.7519609476146,21.0208313093628,21.2489646190733,16.4418761126366,17.6558689072955,15.3826859059667
348.8399963,17.3656683365491,21.5358865642915,24.2750634439367,17.4271248618283,23.7834160643761,25.1793411204112,19.4200497906148,18.5069924382907,20.6052698602681,19.2620204479944
349.4393616,21.3016701296373,17.0629982906692,12.9470836043450,11.9939237770903,16.4420013182116,17.4601483013287,19.8719308845754,14.1818584068984,14.0879857568251,13.8930213143167
350.0387268,21.3329615968459,23.6655125647394,16.4543719011832,12.7064753102996,16.7232078569432,16.5571621834358,18.6287833050849,18.9450624330683,18.4152955452090,19.3404091713378
350.638031,19.5587142921059,18.6600701803767,17.8898055767086,17.1648490085167,18.2824897363178,17.0364715745720,16.5682698742696,17.4140530556891,18.2673860207675,14.6652597901919
351.2373352,20.4403210525391,22.2768200288602,15.8037785302123,14.5684646023468,18.3073468240073,15.9108389122924,18.9579447914859,21.3626895091618,15.7708358302214,18.0685190348539
351.8366089,20.9587893896507,15.3549584507931,14.0210782475028,12.4572179364727,21.1811032832468,18.9503023441904,16.9571477270177,17.8157384448272,13.4384628167715,13.0934937079238
352.4358521,18.1024491671298,23.5219098056397,20.9611555010197,12.3608810063230,16.1617510964700,20.3410970553217,17.9575007268027,16.3952796307165,20.6390468728538,16.9428616445132
353.0350647,21.7724462715918,18.1485657133032,13.4674180892501,12.6361856973012,18.0464854734293,18.0246102780251,21.1162104361944,16.4204793485385,18.6881378452239,14.6850992492996
353.6342468,21.3513471759823,20.7962116145805,20.0788078957721,21.2574007248412,17.7557807450376,20.9584821177162,16.5857263699549,21.5392400782644,20.5058338071710,15.3558887425930
354.2333984,20.3680377633032,17.9749060508501,14.0794635029908,16.0724809821537,21.8099564230382,12.9546162064085,19.1450495526656,18.2240346612628,13.7774901837559,16.6990731313903
